fsm, mapping, replan, sfc, mpc, df, total, 
3.698e-06, 0, 0, 0, 0.000647901, 3.395e-06, 0.000655417, 
2.034e-06, 0, 0, 0, 0.000452159, 1.878e-06, 0.000456424, 
2.896e-06, 0, 0, 0, 0.000535074, 1.656e-06, 0.000540043, 
1.561e-06, 0, 0, 0, 0.000357092, 1.506e-06, 0.000360596, 
5.004e-06, 0, 0, 0, 0.000960457, 1.2342e-05, 0.000978692, 
3.653e-06, 0, 0, 0, 0.000582993, 2.916e-06, 0.000590068, 
1.967e-06, 0, 0, 0, 0.000357792, 2.342e-06, 0.000362395, 
2.807e-06, 0, 0, 0, 0.000534478, 2.364e-06, 0.000540385, 
4.192e-06, 0, 0, 0, 0.000524632, 1.7174e-05, 0.000546397, 
8.923e-06, 0, 0, 0, 0.000368006, 1.596e-06, 0.000378751, 
2.353e-06, 0, 0, 0, 0.000353314, 1.554e-06, 0.00035752, 
2.485e-06, 0, 0, 0, 0.00038877, 2.471e-06, 0.00039402, 
2.858e-06, 0, 0, 0, 0.000368001, 1.877e-06, 0.000372903, 
4.268e-06, 0, 0, 0, 0.000532861, 1.7548e-05, 0.000555103, 
2.529e-06, 0, 0, 0, 0.000329266, 8.918e-06, 0.000341038, 
3.761e-06, 0, 0, 0, 0.000395689, 2.048e-06, 0.00040176, 
2.708e-06, 0, 0, 0, 0.000341226, 1.0443e-05, 0.000354654, 
3e-06, 0, 0, 0, 0.000510423, 1.512e-05, 0.000528945, 
3.718e-06, 0, 0, 0, 0.000589792, 9.485e-06, 0.000603471, 
3.396e-06, 0, 0, 0, 0.00140457, 7.027e-06, 0.00141557, 
2.598e-06, 0, 0, 0, 0.000422934, 2.245e-06, 0.000428024, 
2.284e-06, 0, 0, 0, 0.000371001, 2.653e-06, 0.00037618, 
2.584e-06, 0, 0, 0, 0.00033735, 2.5e-06, 0.000342729, 
1.96e-06, 0, 0, 0, 0.000348453, 2.311e-06, 0.000352984, 
2.357e-06, 0, 0, 0, 0.000335814, 1.0984e-05, 0.000349332, 
3.657e-06, 0, 0, 0, 0.000391077, 2.566e-06, 0.000397588, 
1.943e-06, 0, 0, 0, 0.000348212, 1.618e-06, 0.000351938, 
2.036e-06, 0, 0, 0, 0.000349739, 2.103e-06, 0.000354446, 
2.133e-06, 0, 0, 0, 0.000335502, 8.527e-06, 0.000346403, 
2.34e-06, 0, 0, 0, 0.000369553, 2.196e-06, 0.000374715, 
1.919e-06, 0, 0, 0, 0.000336443, 1.514e-06, 0.000340115, 
2.129e-06, 0, 0, 0, 0.000375522, 1.1367e-05, 0.000389317, 
2.14e-06, 0, 0, 0, 0.000328498, 1.1003e-05, 0.00034188, 
1.934e-06, 0, 0, 0, 0.000332434, 1.0428e-05, 0.000345133, 
2.243e-06, 0, 0, 0, 0.00034206, 1.1544e-05, 0.000356115, 
4.998e-06, 0, 0, 0, 0.000569941, 1.9674e-05, 0.000595305, 
3.109e-06, 0, 0, 0, 0.000520653, 2.246e-06, 0.000526374, 
1.998e-06, 0, 0, 0, 0.000359239, 2.381e-06, 0.00036401, 
2.332e-06, 0, 0, 0, 0.000335096, 1.955e-06, 0.000339598, 
2.595e-06, 0, 0, 0, 0.000513293, 9.564e-06, 0.000525712, 
3.163e-06, 0, 0, 0, 0.000510112, 1.3921e-05, 0.000527497, 
3.184e-06, 0, 0, 0, 0.000559702, 2.837e-06, 0.000566155, 
2.174e-06, 0, 0, 0, 0.000352698, 2.809e-06, 0.000357941, 
2.678e-06, 0, 0, 0, 0.000372673, 1.0788e-05, 0.00038642, 
1.56e-06, 0, 0, 0, 0.000330055, 1.385e-06, 0.000333167, 
2.694e-06, 0, 0, 0, 0.000367299, 2.368e-06, 0.000372725, 
2.187e-06, 0, 0, 0, 0.000343498, 2.085e-06, 0.000348077, 
1.536e-06, 0, 0, 0, 0.000340506, 1.577e-06, 0.000343808, 
2.322e-06, 0, 0, 0, 0.000334927, 1.3577e-05, 0.00035113, 
2.078e-06, 0, 0, 0, 0.000417522, 1.1817e-05, 0.000431662, 
2.57e-06, 0, 0, 0, 0.000334416, 8.38e-06, 0.000345633, 
2.775e-06, 0, 0, 0, 0.000606424, 1.997e-06, 0.000611539, 
2.476e-06, 0, 0, 0, 0.000343097, 1.955e-06, 0.000347774, 
2.283e-06, 0, 0, 0, 0.000351935, 1.712e-06, 0.000356175, 
1.778e-06, 0, 0, 0, 0.000330566, 1.702e-06, 0.000334284, 
1.864e-06, 0, 0, 0, 0.000353371, 1.805e-06, 0.000357628, 
1.954e-06, 0, 0, 0, 0.000324244, 1.375e-06, 0.000327808, 
2.09e-06, 0, 0, 0, 0.000341074, 1.794e-06, 0.000345201, 
2.2e-06, 0, 0, 0, 0.000360697, 2.611e-06, 0.000365767, 
2.249e-06, 0, 0, 0, 0.000349058, 1.946e-06, 0.000353499, 
1.923e-06, 0, 0, 0, 0.000326524, 1.0543e-05, 0.000339207, 
1.473e-06, 0, 0, 0, 0.000336984, 1.745e-06, 0.000340411, 
1.953e-06, 0, 0, 0, 0.000331421, 1.1951e-05, 0.000345516, 
1.832e-06, 0, 0, 0, 0.000332207, 1.325e-06, 0.000335547, 
2.27e-06, 0, 0, 0, 0.000328876, 2.082e-06, 0.000333394, 
2.556e-06, 0, 0, 0, 0.000377598, 1.5835e-05, 0.000396345, 
2.207e-06, 0, 0, 0, 0.000256876, 1.484e-06, 0.000260756, 
1.869e-06, 0, 0, 0, 0.000252369, 1.833e-06, 0.000256296, 
2.322e-06, 0, 0, 0, 0.000271106, 1.1626e-05, 0.000285321, 
2.137e-06, 0, 0, 0, 0.000261685, 1.1206e-05, 0.000275304, 
1.542e-06, 0, 0, 0, 0.000342727, 1.834e-06, 0.000346392, 
1.599e-06, 0, 0, 0, 0.000268652, 1.692e-06, 0.000272158, 
2.232e-06, 0, 0, 0, 0.000273293, 1.724e-06, 0.000277484, 
1.825e-06, 0, 0, 0, 0.000254213, 1.164e-06, 0.000257727, 
1.612e-06, 0, 0, 0, 0.000244001, 1.22e-06, 0.000247061, 
2.272e-06, 0, 0, 0, 0.00027287, 1.698e-06, 0.000277073, 
2.845e-06, 0, 0, 0, 0.000384341, 2.134e-06, 0.00038968, 
1.98e-06, 0, 0, 0, 0.000353943, 1.07e-05, 0.000366791, 
3.444e-06, 0, 0, 0, 0.000423325, 4.009e-06, 0.000431099, 
2.354e-06, 0, 0, 0, 0.000370343, 1.0159e-05, 0.000383244, 
1.823e-06, 0, 0, 0, 0.000248759, 1.547e-06, 0.00025238, 
1.643e-06, 0, 0, 0, 0.000257493, 9.926e-06, 0.000269353, 
2.352e-06, 0, 0, 0, 0.000294917, 1.2681e-05, 0.000310214, 
1.511e-06, 0, 0, 0, 0.000250271, 1.681e-06, 0.00025376, 
1.713e-06, 0, 0, 0, 0.000243026, 1.352e-06, 0.000246279, 
2.293e-06, 0, 0, 0, 0.000287426, 3.246e-06, 0.000293489, 
2.927e-06, 0, 0, 0, 0.000387349, 1.903e-06, 0.000392802, 
2.82e-06, 0, 0, 0, 0.000580221, 2.048e-06, 0.000585487, 
2.246e-06, 0, 0, 0, 0.000277135, 4.489e-06, 0.000284184, 
2.097e-06, 0, 0, 0, 0.000515815, 2.226e-06, 0.000520501, 
2.1e-06, 0, 0, 0, 0.000260589, 1.516e-06, 0.000264378, 
2.618e-06, 0, 0, 0, 0.000376974, 2.171e-06, 0.000382006, 
1.96e-06, 0, 0, 0, 0.00026647, 1.908e-06, 0.000270511, 
2.117e-06, 0, 0, 0, 0.00024663, 9.932e-06, 0.000258864, 
1.773e-06, 0, 0, 0, 0.000250878, 1.425e-06, 0.000254265, 
2.621e-06, 0, 0, 0, 0.000300345, 2.12e-06, 0.000305339, 
2.742e-06, 0, 0, 0, 0.000378386, 1.821e-06, 0.00038332, 
3.782e-06, 0, 0, 0, 0.00057461, 1.6583e-05, 0.000595718, 
4.393e-06, 0, 0, 0, 0.000434614, 2.0725e-05, 0.000460266, 
2.863e-06, 0, 0, 0, 0.000322344, 2.633e-06, 0.000328133, 
1.916e-06, 0, 0, 0, 0.000335713, 9.746e-06, 0.000347621, 
2.118e-06, 0, 0, 0, 0.000378844, 2.622e-06, 0.000383939, 
2.735e-06, 0, 0, 0, 0.000523493, 2.129e-06, 0.000528774, 
1.879e-06, 0, 0, 0, 0.000339385, 1.866e-06, 0.000343404, 
1.824e-06, 0, 0, 0, 0.000323649, 1.383e-06, 0.000327111, 
3.042e-06, 0, 0, 0, 0.000546159, 1.5561e-05, 0.000565693, 
1.98e-06, 0, 0, 0, 0.000324454, 1.601e-06, 0.000328265, 
1.821e-06, 0, 0, 0, 0.000392075, 1.482e-06, 0.000395601, 
6.947e-06, 0, 0, 0, 0.000378037, 2.466e-06, 0.000389883, 
6.512e-06, 0, 0, 0, 0.000386088, 2.266e-06, 0.000397546, 
2.31e-06, 0, 0, 0, 0.00033361, 1.3325e-05, 0.000349495, 
2.684e-06, 0, 0, 0, 0.00052005, 1.5027e-05, 0.000538106, 
1.875e-06, 0, 0, 0, 0.000342383, 1.753e-06, 0.000346333, 
1.794e-06, 0, 0, 0, 0.000338459, 1.498e-06, 0.000341978, 
1.458e-06, 0, 0, 0, 0.000323147, 1.777e-06, 0.000326641, 
1.996e-06, 0, 0, 0, 0.000469231, 2.919e-06, 0.000474576, 
1.598e-06, 0, 0, 0, 0.000313893, 1.353e-06, 0.000317072, 
1.835e-06, 0, 0, 0, 0.000332063, 2.575e-06, 0.000336719, 
3.386e-06, 0, 0, 0, 0.000696635, 1.4704e-05, 0.000715307, 
2.03e-06, 0, 0, 0, 0.000346249, 2.12e-06, 0.000350656, 
2.848e-06, 0, 0, 0, 0.000467885, 2.665e-06, 0.000473682, 
2.158e-06, 0, 0, 0, 0.000343253, 1.242e-06, 0.000346841, 
